codigo_clase,nombre_clase,celdas,m2,ha,km2,proporcion
Red vial,NA,734572,73457200,7345.72,73.4572,0.0014379242319564256
"Parque nacional, reserva biológica o monumento natural",NA,66122185,6612218500,661221.85,6612.2185,0.12943413590690317
Cuerpo de agua,NA,2409553,240955300,24095.53,240.9553,0.004716698495019278
Patrimonio natural del estado,NA,3387127,338712700,33871.27,338.7127,0.006630298990451408
Caña,NA,6246158,624615800,62461.58,624.6158,0.012226850390197943
Banano,NA,5436647,543664700,54366.47,543.6647,0.010642233112469854
Café,NA,9343186,934318600,93431.86,934.3186,0.018289280769041058
Cacao,NA,97231,9723100,972.31,9.7231,1.903296218714506e-4
Pasto,NA,133172920,13317292000,1331729.2,13317.292,0.2606859078598075
Palma,NA,7355831,735583100,73558.31,735.5831,0.014399034595759525
Piña,NA,6508660,650866000,65086.6,650.866,0.01274069789151439
Cultivo,NA,32678316,3267831600,326783.16,3267.8316,0.0639677831933825
Páramo,NA,37755,3775500,377.55,3.7755,7.390538895780787e-5
Plantación forestal,NA,2841281,284128100,28412.81,284.1281,0.005561805785814576
Cobertura forestal,NA,225538073,22553807300,2255380.73,22553.8073,0.44149063726286497
Suelo desnudo,NA,3278816,327881600,32788.16,327.8816,0.00641828027548891
Zona urbana,NA,4631015,463101500,46310.15,463.1015,0.009065208974823007
Sin información,NA,1036520,103652000,10365.2,103.652,0.0020289872536762552
